DeviceNum,Category,XLE_MAC,XB_MAC,XLE_IP,XLE_Version,XB_Version,RSRP_dBm,RSRQ_dB,SNR_dB,RSSI_dBm,RadioEnvConditions,BandInfo_dmcli,Band_actual,EARFCN,BandBW_MHz,CA_Active,CA_TotalBW_MHz,PCI,GlobalCellId,TAC,TimingAdvance_us,CellDistance_km,DL_Mbps,UL_Mbps,Ping_ms,Latency_avg_ms,Latency_min_ms,Latency_max_ms,PacketLoss_pct,SpeedtestServer,ServerDistance_km,Neighbors_IntraFreq,Neighbors_InterFreq,PLMN,UE_InIdle_During_Test,Serving_RSRP_Connected_dBm,Serving_RSRQ_Connected_dB,SNR_During_Test_dB,Timestamp
49,GOOD,d8:9c:8e:00:41:a0,B8:A5:35:91:EE:9E,169.254.1.165,WNXL11BWL_8.3p7s1_PROD_sey,CGM4981COM_8.3p10s1_PROD_sey,-93,-8,21.0,-65,GOOD,4,eutran-4,2050,10,No,10,104,37412128,37376,,,,155.82,51.02,36.353,21.938,15.415,72.456,0,,,0,2,311048,No,-91.8,-7.9,20.8,2026-06-04T09:30Z
50,GOOD,d8:9c:8e:00:41:d7,10:A7:93:0C:EC:B8,169.254.1.220,WNXL11BWL_8.3p7s1_PROD_sey,CGM4981COM_8.3p10s1_PROD_sey,-93,-10,26.6,-60,GOOD,4,eutran-4,2050,10,No,10,319,8334102,8193,,,,125.55,33.88,35.649,19.533,12.283,79.804,0,,,2,0,311048,No,-92.8,-8.9,15.2,2026-06-04T09:45Z
51,FAIR,d8:9c:8e:00:04:38,E0:DB:D1:DC:7B:B7,169.254.85.199,WNXL11BWL_8.3p7s1_PROD_sey,CGM4331COM_8.3p12s1_PROD_sey,-96,-12,4.6,-65,FAIR,13,eutran-13,5230,10,No,10,495,266551856,26100,,,,140.26,40.65,56.628,59.651,16.108,1988.593,0,,,0,0,311048,No,-95.2,-11.3,7.8,2026-06-04T10:00Z
52,FAIR,d8:9c:8e:00:0b:e5,80:DA:C2:DF:61:FE,169.254.1.164,WNXL11BWL_8.3p7s1_PROD_sey,CGM4331COM_8.3p12s1_PROD_sey,-97,-11,10.4,-68,FAIR,3,eutran-4,2125,10,No,10,325,25927702,25858,,,,192.13,40.86,45.069,21.621,14.397,102.239,0,,,3,0,311048,No,-97.6,-11.0,11.0,2026-06-04T10:15Z
53,FAIR,,,169.254.1.167,,,,,,,FAIR,,,,,,,,,,,,FAIL,FAIL,,,,,,,,,,311048,,,,,2026-06-04T10:30Z
54,FAIR,,,169.254.1.22,,CGM4331COM_8.3p12s1_PROD_sey,,,,,FAIR,,,,,,,,,,,,FAIL,FAIL,,,,,,,,,,311048,,,,,2026-06-04T10:32Z
55,FAIR,d8:9c:8e:00:16:58,F8:D0:0E:F1:40:3C,169.254.1.8,WNXL11BWL_8.3p7s1_PROD_sey,CGM4981COM_8.2p7s1_PROD_sey,-113,-11,13.4,-79,POOR,2,eutran-4,2050,10,No,10,66,31757836,31751,,,,82.53,67.30,106.021,24.763,20.454,46.687,1,,,0,0,311048,Yes,-109.2,-11.8,7.4,2026-06-04T10:45Z
56,FAIR,d8:9c:8e:00:16:94,A0:FF:70:20:34:9D,169.254.1.68,WNXL11BWL_8.3p7s1_PROD_sey,CGM4331COM_8.3p12s1_PROD_sey,-99,-11,12.0,-68,FAIR,4,eutran-4,2050,10,No,10,144,62239274,62208,,,,82.37,38.84,91.559,20.011,12.049,118.070,2,,,0,0,311048,,,8.0,2026-06-04T10:50Z
57,FAIR,d8:9c:8e:00:16:c1,F8:5E:42:45:51:2A,169.254.1.113,WNXL11BWL_8.3p11s1_PROD_sey,CGM4331COM_8.3p12s1_PROD_sey,-103,-13,1.4,-69,FAIR,13,eutran-2,1025,10,No,10,234,14423074,14339,,,,128.17,41.07,29.898,17.089,9.735,126.942,0,,,0,0,311048,No,-102.9,-13.5,6.4,2026-06-04T11:00Z
58,FAIR,d8:9c:8e:00:17:cf,3C:82:C0:0B:15:04,169.254.1.239,WNXL11BWL_8.3p11s1_PROD_sey,CGM4981COM_8.3p14s1_PROD_sey,-102,-11,2.6,-67,FAIR,13,eutran-4,2300,10,No,10,80,134185760,57345,,,,177.79,40.55,37.793,16.263,10.371,43.138,0,,,0,0,311048,No,-100.5,-11.1,2.8,2026-06-04T11:15Z
59,FAIR,d8:9c:8e:00:1c:61,3C:82:C0:08:DA:0C,169.254.1.191,WNXL11BWL_8.3p11s1_PROD_sey,CGM4981COM_8.3p14s1_PROD_sey,-100,-11,6.8,-69,FAIR,2,eutran-4,2050,10,No,10,286,113613600,36613,,,,137.34,110.44,77.76,20.222,7.029,257.991,0,,,0,0,311048,No,-99.4,-8.1,8.8,2026-06-04T11:20Z
60,FAIR,d8:9c:8e:00:1c:6b,5C:7D:7D:2D:8D:9F,169.254.1.201,WNXL11BWL_8.3p11s1_PROD_sey,CGM4331COM_8.3p12s1_PROD_sey,-100,-13,14.0,-71,FAIR,5,eutran-66,1550,10,No,10,409,25938716,25864,,,,83.10,120.83,60.513,29.665,17.327,125.250,0,,,0,0,311048,No,-99.6,-11.8,19.2,2026-06-04T11:35Z
61,FAIR,d8:9c:8e:00:1c:70,5C:22:DA:3C:EF:3F,169.254.1.206,WNXL11BWL_8.3p7s1_PROD_sey,CGM601TCOM_8.3p5s1_PROD_sey,-97,-11,17.2,-74,FAIR,4,eutran-66,1375,10,No,10,31,29303324,29185,,,,149.96,98.44,42.785,30.771,22.360,65.003,0,,,0,0,311048,No,-99.0,-9.9,15.4,2026-06-04T11:45Z
62,FAIR,d8:9c:8e:00:1c:7f,5C:7D:7D:78:94:AC,169.254.1.221,WNXL11BWL_8.3p11s1_PROD_sey,CGM4331COM_8.3p12s1_PROD_sey,-102,-10,9.0,-71,FAIR,5,eutran-4,2325,10,No,10,7,61716758,61711,,,,201.40,38.39,42.276,17.927,10.210,134.680,0,,,0,0,311048,No,-102.0,-10.2,14.6,2026-06-04T11:55Z
