"Top 1000 values of CMMAC_split","Top 1000 values of RemoteMac_split","Last value of RadioConditions_split"
"d8:9c:8e:00:27:2e","B8:5E:71:5C:54:D6",GOOD
"d8:9c:8e:00:27:38","48:4B:D4:5E:41:10",POOR
"d8:9c:8e:00:27:e2","10:36:AA:F8:5B:14",POOR
"d8:9c:8e:00:28:0a","1C:9E:CC:21:A4:7C",FAIR
"d8:9c:8e:00:28:14","5C:22:DA:3C:DD:17",GOOD
"d8:9c:8e:00:28:32","58:96:30:3F:CC:9D",EXCELLENT
"d8:9c:8e:00:28:41","1C:9E:CC:25:A8:A6",EXCELLENT
"d8:9c:8e:00:28:55","3C:82:C0:07:E3:BC",POOR
"d8:9c:8e:00:28:64","40:75:C3:41:D0:9C",FAIR
"d8:9c:8e:00:28:69","AC:4C:A5:B2:DD:20",EXCELLENT
"d8:9c:8e:00:28:73","B8:5E:71:F3:09:74",FAIR
"d8:9c:8e:00:28:dc","AC:4C:A5:A9:20:F0",POOR
"d8:9c:8e:00:29:7c","3C:82:C0:09:F6:3C",POOR
"d8:9c:8e:00:29:86","C4:50:9C:1C:49:94",POOR
"d8:9c:8e:00:29:8b","5C:22:DA:3C:C1:A3",POOR
"d8:9c:8e:00:29:90","A8:70:5D:4C:05:DF",POOR
"d8:9c:8e:00:29:95","80:DA:C2:DC:13:91",FAIR
"d8:9c:8e:00:29:a9","8C:6A:8D:49:E7:24",GOOD
"d8:9c:8e:00:29:bd","E8:CD:15:BA:B1:2C",GOOD
"d8:9c:8e:00:29:c2","D4:E2:CB:D5:2B:70",EXCELLENT
"d8:9c:8e:00:29:ea","E8:CD:15:00:5F:44",FAIR
"d8:9c:8e:00:2a:ad","50:BB:9F:93:47:3C",POOR
"d8:9c:8e:00:2a:bc","1C:9E:CC:21:A3:B4",FAIR
"d8:9c:8e:00:2a:cb","C4:50:9C:DE:4E:54",FAIR
"d8:9c:8e:00:2a:d5","AC:DB:48:6D:04:A2",FAIR
"d8:9c:8e:00:2a:e4","AC:DB:48:6E:EE:0C",POOR
"d8:9c:8e:00:2a:fd","A8:70:5D:57:E5:BD",GOOD
"d8:9c:8e:00:2b:34","64:67:72:8F:6F:6B",POOR
"d8:9c:8e:00:2b:39","3C:2D:9E:85:9C:54",FAIR
"d8:9c:8e:00:2b:6b","64:67:72:8F:65:D2",FAIR
"d8:9c:8e:00:2b:75","8C:6A:8D:46:FD:CE",FAIR
"d8:9c:8e:00:2b:8e","C0:94:35:1F:D1:C9",EXCELLENT
"d8:9c:8e:00:2c:10","5C:22:DA:3C:F3:9F",FAIR
"d8:9c:8e:00:2c:15","AC:DB:48:F8:86:96",EXCELLENT
"d8:9c:8e:00:2c:24","C0:94:35:D5:97:3C",EXCELLENT
"d8:9c:8e:00:2c:29","1C:9D:72:C3:F1:48",POOR
